Number,kural,explanation,adikaram_name,iyal_name,paul_name,paul_translation,mk,mv,sp
91,இன்சொலால் ஈரம் அளைஇப் படிறுஇலவாம் செம்பொருள் கண்டார்வாய்ச் சொல்.,Sweet words are those which imbued with love and free from deceit flow from the mouth of the virtuous,இனியவை கூறல்,இல்லறவியல்,அறத்துப்பால்,Virtue,"ஒருவர் வாயிலிருந்து வரும் சொல் அன்பு கலந்ததாகவும், வஞ்சனையற்றதாகவும், வாய்மையுடையதாகவும் இருப்பின் அதுவே இன்சொல் எனப்படும்","அன்பு கலந்து வஞ்சம் அற்றவைகளாகிய சொற்கள், மெய்ப்பொருள் கண்டவர்களின் வாய்ச்சொற்கள் இன்சொற்களாகும்.","அறம் அறிந்தவர் வாயிலிருந்து பிறந்து, அன்பு கலந்து உள்நோக்கம் இல்லாது வருவதே இனிய சொல்."
989,ஊழி பெயரினும் தாம்பெயரார் சான்றாண்மைக்கு ஆழி எனப்படு வார்.,"Those who are said to be the shore of the sea of perfection will never change, though ages may change",சான்றாண்மை,குடியியல்,பொருட்பால்,Wealth,"தமக்குரிய கடமைகளைக் கண்ணியத்துடன் ஆற்றுகின்ற சான்றோர் எல்லாக் கடல்களும் தடம் புரண்டு மாறுகின்ற ஊழிக்காலம் ஏற்பட்டாலும்கூடத், தம்நிலை மாறாத கடலாகத் திகழ்வார்கள்","சால்பு என்னும் தன்மைக்குக் கடல் என்று புகழப்படுகின்றவர், ஊழிக்காலத்தின் வேறுபாடுகளே நேர்ந்தாலும் தாம் வேறுபடாமல் இருப்பர்.","சான்றாண்மை எனப்படும் கடலுக்குக் கரை எனப்படும் சான்றோர், காலம் மாறினாலும் தாம் மாறமாட்டார்."
1167,காமக் கடும்புனல் நீந்திக் கரைகாணேன் யாமத்தும் யானே உளேன்.,"I have swam across the terrible flood of lust, but have not seen its shore; even at midnight I am alone; still I live",படர்மெலிந் திரங்கல்,கற்பியல்,காமத்துப்பால்,Love,"நள்ளிரவிலும் என் துணையின்றி நான் மட்டுமே இருக்கிறேன்; அதனால், காதலின்பக் கடும் வெள்ளத்தில் நீந்தி, அதன் கரையைக் காண இயலாமல் கலங்குகிறேன்",காமம் என்னும்‌ வெள்ளத்தை நீந்தியும் அதன் கரையை யான் காணவில்லை; நள்ளிரவிலும் யான் தனியே இருக்கின்றேன்.,காதல் துன்பமாகிய கடலை நீந்தியும் என்னால் கரை காண முடியவில்லை. நள்ளிரவுப் பொழுதினும் உறங்காமல் நான் தனியாகவே இருக்கிறேன்.
952,ஒழுக்கமும் வாய்மையும் நாணும் இம் மூன்றும் இழுக்கார் குடிப்பிறந் தார்.,"The high-born will never deviate from these three; good manners, truthfulness and modesty",குடிமை,குடியியல்,பொருட்பால்,Wealth,"ஒழுக்கம், வாய்மை, மானம் ஆகிய இந்த மூன்றிலும் நிலைதவறி நடக்காதவர்களே உயர்ந்த குடியில் பிறந்தவர்களாகக் கருதப்படுவார்கள்",உயர் குடியில் பிறந்தவர் ஒழுக்கமும் வாய்மையும் நாணமும் ஆகிய இம் மூன்றிலிருந்தும் வழுவாமல் இயல்பாகவே நன்னெறியில் வாழ்வர்.,"நல்ல குடும்பத்தில் பிறந்தவர் ஒழுக்கம், உண்மை, நாணம் என்னும் இம்மூன்றிலிருந்தும் விலகமாட்டார்."
1042,இன்மை எனவொரு பாவி மறுமையும் இம்மையும் இன்றி வரும்.,"When cruel poverty comes on, it deprives one of both the present and future (bliss)",நல்குரவு,குடியியல்,பொருட்பால்,Wealth,"பாவி என இகழப்படுகின்ற வறுமைக் கொடுமை ஒருவருக்கு ஏற்பட்டுவிட்டால் அவருக்கு நிகழ்காலத்திலும், வருங்காலத்திலும் நிம்மதி என்பது கிடையாது","வறுமை என்று சொல்லப்படும் பாவி ஒருவனை நெருங்கினால், அவனுக்கு மறுமையின்பமும், இன்மையின்பமும் இல்லாமற் போகும் நிலைமை வரும்.","இல்லாமை என்ற ஒரு பாவி ஒருவனிடத்தில் சேர்ந்தால், அவன் பிறர்க்குக் கொடுக்க இல்லாதவன் ஆவதால் அவனுக்கு மறுமை இன்பமும் இல்லை; தானே அனுபவிக்க ஏதும் இல்லாததால் இம்மை இன்பமும் இல்லை."
1123,கருமணியிற் பாவாய்நீ போதாயாம் வீழும் திருநுதற்கு இல்லை இடம்.,O you image in the pupil (of my eye)! depart; there is no room for (my) fair-browed beloved,காதற் சிறப்புரைத்தல்,களவியல்,காமத்துப்பால்,Love,நான் விரும்புகின்ற அழகிக்கு என் கண்ணிலேயே இடம் கொடுப்பதற்காக என் கண்ணின் கருமணியில் உள்ள பாவையே! அவளுக்கு இடமளித்து விட்டு நீ போய்விடு!,"என் கண்ணின் கருமணியில் உள்ள பாவையே நீ போய் விடு, யாம் விரும்புகின்ற இவளுக்கு என் கண்ணில் இருக்க இடம் இல்லையே.",என் கருமணிக்குள் இருக்கும் பாவையே! நீ அதை விட்டுப் போய்விடு; நான் விரும்பும் என் மனைவிக்கு என் கண்ணுக்குள் இருக்க இடம் போதவில்லை.
22,துறந்தார் பெருமை துணைக்கூறின் வையத்து இறந்தாரை எண்ணிக்கொண் டற்று.,"To describe the measure of the greatness of those who have forsaken the two-fold desires, is like counting the dead",நீத்தார் பெருமை,பாயிரவியல்,அறத்துப்பால்,Virtue,உலகில் இறந்தவர்களின் எண்ணிக்கை எவ்வளவு என்று கூற முடியுமா? அதுபோலத்தான் உண்மையாகவே பற்றுகளைத் துறந்த உத்தமர்களின் பெருமையையும் அளவிடவே முடியாது,"பற்றுக்களைத் துறந்தவர்களின் பெருமையை அளந்து கூறுதல், உலகத்தில் இதுவரை பிறந்து இறந்தவர்களை கணக்கிடுவதைப்போன்றது.","ஆசைகளை விட்டு விலகியவரின் பெருமைக்கு, எண்ணிக்கையால் அளவு கூறுவது, இந்த உலகத்தில் இறந்து போனவர்களின் எண்ணிக்கையை எல்லாம் எண்ணுவது போலாகும்."
272,வானுயர் தோற்றம் எவன்செய்யும் தன்னெஞ்சம் தான்அறி குற்றப் படின்.,"What avails an appearance (of sanctity) high as heaven, if his mind suffers (the indulgence) of conscious sin",கூடா ஒழுக்கம்,துறவறவியல்,அறத்துப்பால்,Virtue,"தன் மனத்திற்குக் குற்றம் என்று தெரிந்தும்கூட அதைச் செய்பவர், துறவுக்கோலம் பூண்டிருப்பதால் எந்தப் பயனும் இல்லை",தன் மனம் தான் அறிந்த குற்றத்தில் தங்குமானால் வானத்தைப் போல் உயர்ந்துள்ள தவக்கோலம் ஒருவனுக்கு என்ன பயன் செய்யும்.,தன் மீது தன் நெஞ்சமே குற்றம் சொல்லுமானால் மேலான நிலையினால் வரும் பலன்தான் என்ன?
1148,நெய்யால் எரிநுதுப்பேம் என்றற்றால் கெளவையால் காமம் நுதுப்பேம் எனல்.,To say that one could extinguish passion by rumour is like extinguishing fire with ghee,அலர் அறிவுறுத்தல்,களவியல்,காமத்துப்பால்,Love,"ஊரார் பழிச்சொல்லுக்குப் பயந்து காதல் உணர்வு அடங்குவது என்பது, எரிகின்ற தீயை நெய்யை ஊற்றி அணைப்பதற்கு முயற்சி செய்வதைப் போன்றதாகும்","அலர் கூறுவதால் காமத்தை அடக்குவோம் என்று முயலுதல், நெய்யால் நெருப்பை அவிப்போம் என்று முயல்வதைப் போன்றது.","இந்த ஊரார் தங்கள் அலரால் எங்கள் காதலை அழித்து விடுவோம் என்று எண்ணுவது, நெய்யை ஊற்றியே நெருப்பை அணைப்போம் என்பது போலாம்."
1008,நச்சப் படாதவன் செல்வம் நடுவூருள் நச்சு மரம்பழுத் தற்று.,The wealth of him who is disliked (by all) is like the fruit-bearing of the etty tree in the midst of a town,நன்றியில் செல்வம்,குடியியல்,பொருட்பால்,Wealth,"வெறுக்கப்படுகிறவரிடம் குவிந்துள்ள செல்வமும், ஊர் நடுவே நச்சு மரத்தில் காய்த்துக் குலுங்குகின்ற பழமும் வெவ்வேறானவையல்ல!","பிறர்க்கு உதவாத காரணத்தால் ஒருவராலும் விரும்பப்படாதவனுடைய செல்வம், ஊர் நடுவில் நச்சு மரம் பழுத்தாற் போன்றது.",எவராலும் விரும்பப்படாதவனின் செல்வம் ஊரின் நடுவே நின்ற நச்சு மரம் பழுத்தது போலாம்.
738,பிணியின்மை செல்வம் விளைவின்பம் ஏமம் அணியென்ப நாட்டிவ் வைந்து.,"Freedom from epidemics, wealth, produce, happiness and protection (to subjects); these five, the learned, say, are the ornaments of a kingdom",நாடு,அரணியல்,பொருட்பால்,Wealth,"மக்களுக்கு நோயற்ற வாழ்வு, விளைச்சல் மிகுதி, பொருளாதார வளம், இன்ப நிலை, உரிய பாதுகாப்பு ஆகிய ஐந்தும் ஒரு நாட்டுக்கு அழகு எனக் கூறப்படுபவைகளாகும்","நோயில்லாதிருத்தல், செல்வம், விளை பொருள், வளம், இன்பவாழ்வு, நல்ல காவல் இந்த ஐந்தும் நாட்டிற்கு அழகு என்று கூறுவர்.","நோய் இல்லாமை, செல்வம், விளைச்சல், மகிழ்ச்சி, நல்ல காவல் இவை ஐந்தும் ஒரு நாட்டிற்கு அழகு என்று நூலோர் கூறுவர்."
1297,நாணும் மறந்தேன் அவர்மறக் கல்லாஎன் மாணா மடநெஞ்சிற் பட்டு.,"I have even forgotten my modesty, having been caught in my foolish mind which is not dignified enough to forget him",நெஞ்சொடு புலத்தல்,கற்பியல்,காமத்துப்பால்,Love,அவரை மறக்க முடியாமல் வாடும் என்னுடைய சிறப்பில்லாத மட நெஞ்சத்துடன் சேர்ந்து மறக்கக் கூடாது நாணத்தையும் மறந்து விட்டேன்,"காதலனை மறக்க முடியாத என்னுடைய சிறப்பில்லாத மட நெஞ்சினோடு சேர்ந்து, மறக்கத் தகாததாகிய நாணத்தையும் மறந்து விடடேன்.","தன்னை மறந்த காதலரைத் தான் மறக்க முடியாத, என் நிலையில்லாத மடநெஞ்சோடு கூடி, நான் நாணத்தையும் மறந்துவிட்டேன்."
1131,காமம் உழந்து வருந்தினார்க்கு ஏமம் மடலல்லது இல்லை வலி.,"To those who after enjoyment of sexual pleasure suffer (for want of more), there is no help so efficient as the palmyra horse",நாணுத் துறவுரைத்தல்,களவியல்,காமத்துப்பால்,Love,"காதலால் துன்புறும் காளையொருவனுக்குப் பாதுகாப்பு முறையாக மடலூர்தலைத் தவிர, வலிமையான துணைவேறு எதுவுமில்லை",காமத்தால் துன்புற்று (காதலின் அன்பு பெறாமல்) வருந்தினவர்க்குக் காவல் மடலூர்தல் அல்லாமல் வலிமையானத் துணை வேறொன்றும் இல்லை.,காதல் நிறைவேற முடியாமல் வருந்தும் காதலர்க்கு மடல் ஏறுதலைத் தவிர வேறு பலம் இல்லை.
966,புகழ்இன்றால் புத்தேள்நாட்டு உய்யாதால் என்மற்று இகழ்வார்பின் சென்று நிலை.,"Why follow men who scorn, and at their bidding wait?",மானம்,குடியியல்,பொருட்பால்,Wealth,"இகழ்வதையும் பொறுத்துக்கொண்டு, மானத்தை விட்டுவிட்டு ஒருவர் பின்னே பணிந்து செல்வதால் என்ன புகழ் கிடைக்கும்? இல்லாத சொர்க்கமா கிடைக்கும்?","மதியாமல் இகழ்கின்றவரின் பின் சென்று பணிந்து நிற்க்கும் நிலை, ஒருவனுக்கு புகழும் தராது, தேவருலகிலும் செலுத்தாது, வேறு பயன் என்ன.","உயிர் வாழும் பொருட்டு மானத்தை விட்டுவிட்டுத் தம்மை இகழ்பவர் பின்னே சென்று வாழும் வாழ்வு, இம்மைக்குப் புகழ் தராது. மறுமைக்கு விண்ணுலகிலும் சேர்க்காது; வேறு என்னதான் தரும் அது?"
882,வாள்போல பகைவரை அஞ்சற்க அஞ்சுக கேள்போல் பகைவர் தொடர்பு.,Fear not foes (who say they would cut) like a sword; (but) fear the friendship of foes (who seemingly,உட்பகை,நட்பியல்,பொருட்பால்,Wealth,வெளிப்படையாக எதிரே வரும் பகைவர்களைவிட உறவாடிக் கெடுக்க நினைப்பவர்களிடம்தான் எச்சரிக்கையாக இருக்க வேண்டும்,"வாளைப்போல் வெளிப்படையான பகைவர்க்கு அஞ்ச வேண்டியதில்லை, ஆனால் உறவினரைப் போல் இருந்து உட்பகை கொண்டவரின் தொடர்புக்கு அஞ்ச வேண்டும்.",வாளைப்போல் வெளிப்படையாகத் தெரியும் பகைவர்க்கு அஞ்ச வேண்டா; நண்பரைப்போல் வெளியில் காட்டி மனத்துள் பகைவராக‌வே இருப்போரின் தொடர்புக்கு அஞ்சுக.
968,மருந்தோமற்று ஊன்ஓம்பும் வாழ்க்கை பெருந்தகைமை பீடழிய வந்த இடத்து.,For the high-born to keep their body in life when their honour is gone will certainly not prove a remedy against death,மானம்,குடியியல்,பொருட்பால்,Wealth,"சாகாமலே இருக்க மருந்து கிடையாது அப்படி இருக்கும்போது உயிரைவிட நிலையான மானத்தைப் போற்றாமல், வாழ்க்கை மேம்பாட்டுக்காக ஒருவர், தமது பெருமையைக் குறைத்துக் கொள்வது இழிவான செயலாகும்","ஒருவனுடைய பெருந்தகைமை தன் சிறப்புக்கெட நேர்ந்த போது, அவன் உடம்பை மட்டும் காத்து வாழும் வாழ்க்கை சாவாமைக்கு மருந்தோ.",குடும்பப் பெருமைக்கான மானம் அழிய நேர்ந்தபோது இறந்து போகாமல் இந்த உடம்பைக் காத்துவாழும் வாழ்க்கை சாவாமைக்கு மருந்து ஆகுமோ?
891,ஆற்றுவார் ஆற்றல் இகழாமை போற்றுவார் போற்றலுள் எல்லாம் தலை.,Not to disregard the power of those who can carry out (their wishes) is more important than all the watchfulness of those who guard (themselves against evil),பெரியாரைப் பிழையாமை,நட்பியல்,பொருட்பால்,Wealth,"ஒரு செயலைச் செய்து முடிக்க வல்லவரின் ஆற்றலை இகழாது இருந்தால், அதுவே தம்மைக் காத்திடும் காவல்கள் அனைத்தையும் விடச் சிறந்த காவலாக அமையும்","மேற்கொண்ட செயலைச் செய்து முடிக்க வல்லவரின் ஆற்றலை இகழாதிருத்தல், காப்பவர் செய்து கொள்ளும் காவல் எல்லாவற்றிலும் சிறந்தது.","எடுத்துக் கொண்ட செயல்களை இனிது முடிப்பவரின் வலிமைகளை அவமதியாமல் இருப்பது, தமக்குத் தீங்கு ஏதும் வராமல் காப்பவர் செய்யும் காவல்கள் எல்லாவற்றிலும் முதன்மையானது."
1096,உறாஅ தவர்போல் சொலினும் செறாஅர்சொல் ஒல்லை உணரப் படும்.,"Though they may speak harshly as if they were strangers, the words of the friendly are soon understood",குறிப்பறிதல்,களவியல்,காமத்துப்பால்,Love,"காதலை மறைத்துக் கொண்டு, புறத்தில் அயலார் போலக் கடுமொழி கூறினாலும், அவள் அகத்தில் கோபமின்றி அன்பு கொண்டிருப்பது விரைவில் வெளிப்பட்டுவிடும்","புறத்தே அயலார் போல் அன்பில்லாத சொற்களைச் சொன்னாலும், அகத்தே பகையில்லாதவரின் சொல் என்பது விரைவில் அறியப்படும்.","(பேசினேன்) அவள் யாரே எவரோ என்று பதில் சொன்னாள்; சொன்னாலும், மனத்தில் பகை இல்லாத அவளது சொல்லின் பொருள் விரைவில் அறியப்படும்."
625,அடுக்கி வரினும் அழிவிலான் உற்ற இடுக்கண் இடுக்கட் படும்.,"The troubles of that man will be troubled (and disappear) who, however thickly they may come upon him, does not abandon (his purpose)",இடுக்கண் அழியாமை,அரசியல்,பொருட்பால்,Wealth,"துன்பங்களைக் கண்டு கலங்காதவனை, விடாமல் தொடரும் துன்பங்கள், துன்பப்பட்டு அழிந்து விடும்",விடாமல் மேன் மேலும் துன்பம் வந்தபோதிலும் கலங்காமலிருக்கும் ஆற்றலுடையவன் அடைந்த துன்பமே துன்பப்பட்டு போகும்.,"ஒன்றனுக்குப் பின் ஒன்றாகத் தொடர்ந்து துன்பம் வந்தாலும், மனம் தளராதவனுக்கு வந்த அவ்வகைத் துன்பம் துன்பப்படும்."
857,மிகல்மேவல் மெய்ப்பொருள் காணார் இகல்மேவல் இன்னா அறிவி னவர்.,"Who only know to work men woe, fulfilled of enmity",இகல்,நட்பியல்,பொருட்பால்,Wealth,பகை உணர்வு கொள்ளும் தீய அறிவுடையவர்கள் வெற்றிக்கு வழிகாட்டும் உண்மைப் பொருளை அறியமாட்டார்கள்,இகலை விரும்புகின்ற தீய அறிவை உடையவர் வெற்றி பொருந்துதலுக்குக் காரணமான உண்மைப் பொருளை அறியமாட்டார்.,"மனவேறுபாட்டோடு கேடான அறிவையும் உடையவர், வெற்றி தரும் நீதிநூற் பொருளை அறியமாட்டார்."
720,அங்கணத்துள் உக்க அமிழ்தற்றால் தங்கணத்தார் அல்லார்முன் கோட்டி கொளல்.,To utter (a good word) in the assembly of those who are of inferior rank is like dropping nectar on the ground,அவை அறிதல்,அமைச்சியல்,பொருட்பால்,Wealth,"அறிவுள்ளவர்கள், அறிவில்லாதவர்களின் அவையில் பேசுவது, தூய்மையில்லாத முற்றத்தில் சிந்திடும் அமிழ்தம்போல் வீணாகிவிடும்","தன் இனத்தார் அல்லாதவரின் கூட்டத்தில் முன் ஒரு பொருளைப்பற்றி பேசுதல், தூய்மையில்லாத முற்றத்தில் சிந்திய அமிழ்தம் போன்றது.",தமக்குச் சமம் அற்றவர் கூடியுள்ள அவையில் எதையும் பேச வேண்டா; பேசினால் அப்பேச்சு சாக்கடையுள் கொட்டிய அமிழ்தம் போல ஆகும்.
614,தாளாண்மை இல்லாதான் வேளாண்மை பேடிகை வாளாண்மை போலக் கெடும்.,"The liberality of him, who does not labour, will fail, like the manliness of a hermaphrodite, who has a sword in its hand",ஆள்வினை உடைமை,அரசியல்,பொருட்பால்,Wealth,"ஊக்கமில்லாதவர் உதவியாளராக இருப்பதற்கும், ஒரு பேடி, கையிலே வாள்தூக்கி வீசுவதற்கும் வேறுபாடு ஒன்றுமில்லை","முயற்சி இல்லாதவன் உதவிசெய்பவனாக இருத்தல், பேடி தன் கையில் வாளை எடுத்தும் ஆளும் தன்மைபோல் நிறைவேறாமல் போகும்.","முயற்சி இல்லாதவன், பிறர்க்கு உதவுவேன் என்பது, படை கண்டு நடுங்கும் பேடி, களத்துள் நின்று தன் கை வாளைச் சுழற்றுதல் போல ஒரு பயனும் இல்லாமல் போகும்."
